,spread_3m10y,spread_2y10y,cpi_yoy,core_cpi_yoy,pce,unemployment,gdp_yoy,breakeven_5y,recession_prob,y_3m,y_5y,y_10y,y_30y,unemp_delta,spread_3m10y_lag1,spread_3m10y_lag3,spread_2y10y_lag1,spread_2y10y_lag3,cpi_yoy_lag1,cpi_yoy_lag3,core_cpi_yoy_lag1,core_cpi_yoy_lag3,breakeven_5y_lag1,breakeven_5y_lag3,gdp_yoy_lag1,gdp_yoy_lag3,breakeven_gap,inversion_flag,inversion_duration,regime
1990-01-01,0.43,0.15,,,,5.4,4.4,,0.72,,,,,,,,,,,,,,,,,,,0,0,Goldilocks
1990-02-01,0.47,0.08,,,,5.3,,,0.72,,,,,,0.43,,0.15,,,,,,,,4.4,,,0,0,Deflation
1990-03-01,0.58,0.01,,,,5.2,,,0.96,,,,,,0.47,,0.08,,,,,,,,,,,0,0,Deflation
1990-04-01,0.97,0.08,,,,5.4,1.5,,1.84,,,,,0.0,0.58,0.43,0.01,0.15,,,,,,,,4.4,,0,0,Goldilocks
1990-05-01,0.59,0.1,,,,5.4,,,2.34,,,,,0.10000000000000053,0.97,0.47,0.08,0.08,,,,,,,1.5,,,0,0,Deflation
1990-06-01,0.43,0.19,,,,5.2,,,3.74,,,,,0.0,0.59,0.58,0.1,0.01,,,,,,,,,,0,0,Deflation
1990-07-01,0.62,0.45,,,,5.5,0.3,,10.14,,,,,0.09999999999999964,0.43,0.97,0.19,0.08,,,,,,,,1.5,,0,0,Goldilocks
1990-08-01,1.23,0.79,,,,5.7,,,19.42,,,,,0.2999999999999998,0.62,0.59,0.45,0.1,,,,,,,0.3,,,0,0,Deflation
1990-09-01,1.45,0.8,,,,5.9,,,36.54,,,,,0.7000000000000002,1.23,0.43,0.79,0.19,,,,,,,,,,0,0,Deflation
1990-10-01,1.31,0.88,,,,5.9,-3.6,,59.04,,,,,0.40000000000000036,1.45,0.62,0.8,0.45,,,,,,,,0.3,,0,0,Deflation
1990-11-01,1.02,0.73,,,,6.2,,,64.02,,,,,0.5,1.31,1.23,0.88,0.79,,,,,,,-3.6,,,0,0,Deflation
1990-12-01,1.45,0.93,,,,6.3,,,61.88,,,,,0.39999999999999947,1.02,1.45,0.73,0.8,,,,,,,,,,0,0,Deflation
1991-01-01,1.66,0.98,5.647058823529405,5.601816805450421,4.481410004611219,6.4,-1.9,,58.8,,,,,0.5,1.45,1.31,0.93,0.88,,,,,,,,-3.6,,0,0,Stagflation
1991-02-01,1.8,0.98,5.312500000000009,5.6518462697814575,4.0757681386135225,6.6,,,50.22,,,,,0.39999999999999947,1.66,1.02,0.98,0.73,5.647058823529405,,5.601816805450421,,,,-1.9,,,0,0,Stagflation
1991-03-01,2.13,1.03,4.821150855365497,5.243445692883886,3.706401504243373,6.8,,,32.88,,,,,0.5,1.8,1.45,0.98,0.93,5.312500000000009,,5.6518462697814575,,,,,,,0,0,Stagflation
1991-04-01,2.34,1.22,4.809930178432875,5.149253731343295,3.676657031289632,6.7,3.2,,4.36,,,,,0.2999999999999998,2.13,1.66,1.03,0.98,4.821150855365497,5.647058823529405,5.243445692883886,5.601816805450421,,,,-1.9,,0,0,Reflation
1991-05-01,2.35,1.38,5.034856700232382,5.133928571428581,3.872491145218415,6.9,,,1.2,,,,,0.3000000000000007,2.34,1.8,1.22,0.98,4.809930178432875,5.312500000000009,5.149253731343295,5.6518462697814575,,,3.2,,,0,0,Stagflation
