,spread_3m10y,spread_2y10y,cpi_yoy,core_cpi_yoy,pce,unemployment,gdp_yoy,breakeven_5y,recession_prob,y_3m,y_5y,y_10y,y_30y
1990-01-01,0.43,0.15,127.5,132.1,58.553,5.4,4.4,,0.72,,,,
1990-02-01,0.47,0.08,128.0,132.7,58.811,5.3,,,0.72,,,,
1990-03-01,0.58,0.01,128.6,133.5,59.033,5.2,,,0.96,,,,
1990-04-01,0.97,0.08,128.9,134.0,59.157,5.4,1.5,,1.84,,,,
1990-05-01,0.59,0.1,129.1,134.4,59.29,5.4,,,2.34,,,,
1990-06-01,0.43,0.19,129.9,135.1,59.552,5.2,,,3.74,,,,
1990-07-01,0.62,0.45,130.5,135.8,59.699,5.5,0.3,,10.14,,,,
1990-08-01,1.23,0.79,131.6,136.6,60.096,5.7,,,19.42,,,,
1990-09-01,1.45,0.8,132.5,137.1,60.465,5.9,,,36.54,,,,
1990-10-01,1.31,0.88,133.4,137.6,60.811,5.9,-3.6,,59.04,,,,
1990-11-01,1.02,0.73,133.7,138.0,60.888,6.2,,,64.02,,,,
1990-12-01,1.45,0.93,134.2,138.6,60.945,6.3,,,61.88,,,,
1991-01-01,1.66,0.98,134.7,139.5,61.177,6.4,-1.9,,58.8,,,,
1991-02-01,1.8,0.98,134.8,140.2,61.208,6.6,,,50.22,,,,
1991-03-01,2.13,1.03,134.8,140.5,61.221,6.8,,,32.88,,,,
1991-04-01,2.34,1.22,135.1,140.9,61.332,6.7,3.2,,4.36,,,,
1991-05-01,2.35,1.38,135.6,141.3,61.586,6.9,,,1.2,,,,
1991-06-01,2.53,1.34,136.0,141.8,61.69,6.9,,,0.74,,,,
1991-07-01,2.5,1.39,136.2,142.3,61.787,6.8,2.0,,0.76,,,,
1991-08-01,2.33,1.46,136.6,142.9,61.931,6.9,,,0.64,,,,
1991-09-01,2.21,1.48,137.0,143.4,62.144,6.9,,,0.48,,,,
1991-10-01,2.51,1.77,137.2,143.7,62.26,7.0,1.4,,0.92,,,,
1991-11-01,2.91,2.0,137.8,144.2,62.397,7.0,,,1.2,,,,
1991-12-01,2.75,1.94,138.2,144.7,62.553,7.3,,,1.12,,,,
1992-01-01,3.37,2.2,138.3,145.1,62.638,7.3,4.9,,0.68,,,,
1992-02-01,3.24,2.0,138.6,145.4,62.797,7.4,,,0.42,,,,
1992-03-01,3.39,1.94,139.1,145.9,62.949,7.4,,,0.36,,,,
1992-04-01,3.82,2.15,139.4,146.3,63.119,7.4,4.4,,0.38,,,,
1992-05-01,3.54,2.14,139.7,146.8,63.203,7.6,,,0.46,,,,
